City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
Bengaluru,48.59,103.22,3.47,27,18.04,28.02,3.89,1.94,52.96,21.33,196.72,91
Bengaluru,47.38,103.22,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,120
Bengaluru,65.65,103.22,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,154
Bengaluru,60.47,103.22,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,119
Bengaluru,62.56,103.22,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,232
Bengaluru,60.73,103.22,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,132
Bengaluru,42.1,103.22,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,123
Bengaluru,40,103.22,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,152
Bengaluru,32.16,103.22,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,143
Bengaluru,30.78,103.22,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,80
Bengaluru,38.99,103.22,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,90
Bengaluru,36.42,103.22,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,151
Bengaluru,38.15,103.22,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,123
Bengaluru,35.11,103.22,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,178
Bengaluru,36.68,103.22,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,101
Bengaluru,36.92,103.22,2.2,9,7.6,26.22,9.58,4.07,65.62,0.14,12.02,160
Bengaluru,31.78,103.22,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,71
Bengaluru,37.25,103.22,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,76
Bengaluru,29.8,103.22,2.59,9.04,7.52,24.2,6.84,1.84,49.55,0.12,20.68,153
Bengaluru,25.06,103.22,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,80
Bengaluru,24.4,103.22,6.87,7.46,8.7,23.17,5.19,2.03,44.47,8.64,8.48,129
Bengaluru,32.08,103.22,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,107
Bengaluru,19.72,103.22,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,122
