City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
Bengaluru,31.44,70.46,3.03,15.85,10.27,27.73,1.22,1.94,17.98,2.41,17.84,60.0
Bengaluru,43.31,94.45,3.79,23.38,24.16,13.53,0.98,6.97,53.12,0.5,1.98,100.0
Bengaluru,38.15,87.04,4.96,26.49,27.94,12.13,0.93,7.97,55.4,0.56,2.03,91.0
Bengaluru,29.66,72.55,4.54,24.72,25.9,11.06,0.9,7.25,39.28,0.38,3.03,78.0
Bengaluru,24.15,77.96,4.75,19.78,22.33,10.48,0.86,7.01,31.85,0.35,3.4,77.0
Bengaluru,26.15,71.05,4.54,21.45,23.54,11.07,0.84,6.75,36.51,0.31,2.81,79.0
Bengaluru,33.96,72.17,4.07,22.19,23.19,11.55,0.92,6.97,49.32,0.35,3.2,88.0
Bengaluru,29.97,72.04,5.47,27.04,28.63,10.8,0.91,6.65,38.8,0.38,3.09,86.0
Bengaluru,34.77,76.68,6.76,27.42,30.03,10.94,0.93,7.36,42.26,0.42,1.17,90.0
Bengaluru,34.62,78.55,6.45,28.58,30.35,10.85,1.05,6.36,49.83,0.46,1.15,97.0
Bengaluru,39.57,80.31,4.86,25.62,27.1,11.31,0.96,8.25,50.73,0.37,1.43,95.0
Bengaluru,41.48,89.64,3.92,22.84,23.81,12.71,0.94,7.08,50.57,0.33,1.53,93.0
Bengaluru,38.88,84.66,4.74,23.26,24.69,13.54,0.99,7.41,45.57,0.39,0.96,99.0
Bengaluru,38.66,84.01,3.91,21.71,22.73,14.03,0.88,6.71,40.31,0.37,1.11,91.0
Bengaluru,44.33,89.88,5.26,26.8,28.22,15.57,0.98,7.12,37.49,0.45,1.14,93.0
Bengaluru,41.84,83.19,5.52,23.14,25.33,13.61,0.94,8.07,50.82,0.43,1.85,100.0
Bengaluru,57.89,111.38,6.09,28.68,30.95,14.39,1.04,7.21,53.06,0.33,1.21,117.0
Bengaluru,55.66,118.07,12.1,33.05,39.86,15.46,1.22,6.6,52.01,0.33,1.53,131.0
Bengaluru,70.78,154.34,8.97,32.33,35.82,14.47,1.27,6.96,61.01,0.42,1.76,137.0
Bengaluru,53.75,115.89,6.52,29.55,32.36,14.37,1.18,6.36,48.39,0.32,1.36,103.0
Bengaluru,56.2,89.66,3.51,21.91,21.37,14.37,0.98,7.09,49.93,0.22,0.79,101.0
Bengaluru,48.75,95.45,5.79,27.79,30.87,12.22,1.01,6.22,47.04,0.24,1.01,95.0
Bengaluru,42.58,95.58,5.36,26.77,29.54,12.35,1.06,6.75,46.4,0.25,0.88,98.0
Bengaluru,39.39,92.84,5.95,31.61,33.19,12.63,1.16,6.72,41.29,0.27,0.92,112.0
Bengaluru,47.39,88.67,5.03,27.21,30.32,12.47,0.97,5.38,36.49,0.31,1.15,104.0
Bengaluru,41.83,97.01,5.0,31.08,33.28,12.39,1.28,6.01,50.22,0.3,1.4,107.0
Bengaluru,40.62,95.67,6.2,31.05,32.76,13.76,1.06,6.75,59.91,0.8,1.68,103.0
Bengaluru,35.6,82.42,5.07,25.61,28.15,11.92,1.01,5.93,43.59,0.28,1.2,82.0
Bengaluru,30.16,66.88,4.2,13.39,14.52,12.95,0.82,6.92,48.99,0.34,1.48,99.0
Bengaluru,50.85,82.89,3.45,15.65,16.61,14.92,0.86,6.39,39.76,0.24,0.95,106.0
Bengaluru,34.03,46.7,2.53,11.74,12.25,10.25,0.72,5.59,39.05,0.25,3.7,94.0
Bengaluru,40.0,50.83,2.62,12.28,13.36,10.46,0.65,5.77,41.22,0.34,9.27,74.0
Bengaluru,25.27,42.7,2.65,12.73,13.63,9.91,0.73,6.55,43.3,0.44,9.63,66.0
Bengaluru,33.62,50.11,2.76,13.81,14.7,10.86,0.67,8.19,46.04,0.37,8.98,74.0
Bengaluru,30.24,52.51,3.61,15.73,16.73,10.46,0.69,6.34,46.63,0.32,11.75,72.0
Bengaluru,25.61,42.98,3.74,15.57,16.92,11.61,0.71,5.75,46.22,0.42,17.99,72.0
Bengaluru,22.38,35.49,2.68,11.74,12.7,13.94,0.72,4.78,47.0,0.57,9.9,64.0
Bengaluru,26.99,35.92,2.35,10.63,11.3,16.25,0.79,6.06,45.02,0.73,8.55,70.0
Bengaluru,30.06,22.69,3.98,11.5,11.44,13.71,0.67,6.1,47.67,0.25,7.31,76.0
Bengaluru,23.32,32.12,2.51,12.38,13.21,13.62,0.73,5.83,48.84,0.25,5.16,65.0
Bengaluru,18.39,28.13,2.74,13.73,14.46,13.03,0.72,5.55,52.65,0.26,6.3,67.0
Bengaluru,15.14,20.84,3.05,13.48,14.79,16.57,0.71,5.3,42.61,0.22,7.2,62.0
Bengaluru,22.68,50.53,2.34,11.52,11.77,11.69,0.71,4.44,42.79,0.15,11.08,65.0
Bengaluru,30.26,67.3,2.48,9.81,11.62,11.08,0.8,6.06,39.66,0.17,2.53,77.0
Bengaluru,31.93,63.83,2.43,9.23,10.79,11.25,0.72,6.51,43.88,0.25,1.0,74.0
Bengaluru,34.12,69.87,2.43,9.69,11.07,11.13,0.77,6.8,49.16,0.11,0.46,82.0
Bengaluru,27.12,58.49,2.43,9.58,10.93,10.92,0.86,5.56,46.12,0.11,0.52,70.0
Bengaluru,22.54,49.89,2.51,10.37,11.6,10.18,0.76,5.81,41.52,0.12,0.46,64.0
Bengaluru,22.01,48.55,2.9,10.09,11.79,10.45,0.83,5.11,42.69,0.11,0.43,68.0
Bengaluru,32.46,53.57,3.02,11.09,13.51,11.12,0.91,6.77,41.31,0.21,0.88,72.0
Bengaluru,28.45,47.23,2.99,12.22,14.05,10.41,0.85,6.37,37.19,0.36,1.48,66.0
Bengaluru,24.89,45.75,2.63,10.58,12.06,10.13,0.85,6.11,36.29,0.28,1.15,70.0
Bengaluru,27.47,51.79,3.22,9.44,11.22,11.09,0.85,6.49,35.6,0.14,0.37,67.0
Bengaluru,27.77,51.53,2.55,8.99,10.63,11.25,0.7,5.87,35.05,0.13,0.38,61.0
Bengaluru,25.25,48.81,2.62,9.73,11.41,11.91,0.76,7.92,38.24,0.17,0.47,70.0
Bengaluru,40.28,82.77,4.01,20.12,20.75,13.99,1.05,6.03,42.02,0.34,1.47,85.0
Bengaluru,36.3,85.26,4.15,21.8,23.7,12.61,1.09,5.92,49.19,0.19,1.0,81.0
Bengaluru,33.96,82.03,4.67,23.75,26.23,13.04,0.98,6.62,37.76,0.23,1.0,78.0
Bengaluru,30.24,72.85,4.56,24.85,26.87,12.05,1.0,6.25,40.89,0.28,1.1,90.0
Bengaluru,37.86,84.98,6.26,33.67,33.87,14.19,1.1,6.86,36.29,0.47,1.34,90.0
Bengaluru,34.51,82.12,6.77,33.42,35.46,14.44,1.07,5.74,35.59,0.47,1.37,81.0
Bengaluru,26.66,59.29,5.34,23.43,25.93,13.36,0.96,5.8,29.97,0.45,1.05,66.0
Bengaluru,26.9,65.04,6.83,26.29,28.93,14.38,0.95,5.81,24.91,0.46,1.65,86.0
Bengaluru,34.68,85.16,12.3,39.38,43.73,13.59,1.27,7.3,43.88,0.52,2.73,106.0
Bengaluru,39.36,84.68,7.12,38.18,37.98,13.75,1.2,7.7,59.83,0.4,1.15,114.0
Bengaluru,45.19,79.82,10.74,35.06,37.49,13.94,0.93,7.78,55.92,0.75,12.19,111.0
Bengaluru,64.35,108.24,10.27,43.03,43.97,15.71,1.08,7.03,47.83,1.07,19.47,121.0
Bengaluru,53.93,97.81,10.78,38.77,41.27,15.06,1.11,6.51,46.68,1.04,19.3,106.0
Bengaluru,39.5,75.34,7.01,30.57,30.05,14.27,0.97,7.38,37.47,0.81,16.7,79.0
Bengaluru,31.1,66.98,6.52,29.13,28.01,13.03,0.89,6.72,40.4,0.79,16.36,78.0
Bengaluru,39.29,83.02,8.07,36.97,35.92,14.54,1.05,7.71,39.61,0.83,16.79,94.0
Bengaluru,40.57,85.93,7.15,33.79,32.74,13.74,1.09,6.01,45.49,0.99,15.04,101.0
Bengaluru,30.92,74.18,5.8,30.86,28.53,12.61,1.03,6.61,47.48,0.99,15.86,93.0
Bengaluru,22.52,62.95,10.11,29.93,32.13,11.75,1.06,7.35,28.66,1.03,16.53,75.0
Bengaluru,24.74,62.08,8.08,27.57,31.18,13.94,1.09,6.97,25.22,0.69,5.39,81.0
Bengaluru,52.64,97.94,6.86,29.1,29.52,15.68,1.01,7.01,45.1,1.19,39.99,118.0
Bengaluru,52.62,106.81,15.46,31.56,41.89,14.59,1.39,6.94,37.35,1.5,35.36,95.0
Bengaluru,29.66,69.62,6.62,26.26,26.92,12.87,0.99,6.4,32.98,1.06,29.06,85.0
Bengaluru,25.78,62.73,8.81,28.05,30.18,12.4,1.16,7.52,33.11,0.95,34.36,81.0
Bengaluru,30.71,70.8,9.03,27.31,26.74,13.01,1.07,8.56,37.39,1.05,36.19,82.0
Bengaluru,42.54,84.76,7.92,29.1,27.48,13.75,1.06,7.58,45.78,0.88,27.59,97.0
Bengaluru,47.81,77.49,6.4,28.46,27.79,12.91,1.03,8.04,44.92,0.62,24.96,93.0
Bengaluru,38.53,73.77,6.56,26.2,26.31,13.02,0.92,7.39,43.5,0.63,23.56,80.0
Bengaluru,35.24,70.75,7.86,26.94,27.78,13.37,0.97,7.38,37.81,0.93,44.93,82.0
Bengaluru,28.25,71.37,6.1,30.62,31.73,14.77,1.23,6.35,32.1,0.44,1.31,87.0
Bengaluru,41.13,76.02,8.76,30.76,30.61,14.45,1.1,7.64,31.17,0.48,1.4,82.0
Bengaluru,42.19,84.68,7.99,39.01,40.6,13.91,1.22,7.44,29.94,0.5,1.55,108.0
Bengaluru,44.82,95.52,10.87,46.43,49.87,14.99,1.23,6.85,30.14,0.54,1.61,100.0
Bengaluru,47.86,95.51,7.98,33.04,34.36,13.9,1.06,5.97,38.42,0.4,2.64,94.0
Bengaluru,55.31,97.46,6.29,36.85,34.52,15.25,1.28,7.62,49.57,0.4,1.14,101.0
Bengaluru,43.29,105.87,6.85,42.79,38.88,15.06,1.07,7.44,47.44,0.38,1.09,103.0
Bengaluru,41.66,94.89,14.05,43.77,45.43,13.41,1.15,9.48,42.21,0.62,1.4,99.0
Bengaluru,45.02,89.03,6.18,36.76,32.5,13.44,0.99,8.14,49.12,0.51,1.05,120.0
Bengaluru,54.91,129.65,16.22,54.43,56.07,14.89,1.24,7.48,46.99,0.78,1.54,128.0
Bengaluru,50.47,120.55,15.25,46.46,49.0,14.09,1.29,6.98,45.01,0.76,1.69,111.0
Bengaluru,37.67,86.81,9.5,37.32,38.56,12.15,1.06,7.06,34.92,0.62,1.72,84.0
Bengaluru,32.82,72.71,6.23,28.34,27.32,12.02,0.93,7.06,34.6,2.13,2.7,80.0
Bengaluru,33.94,77.23,6.41,28.99,27.96,12.4,1.07,7.08,34.75,1.87,2.29,87.0
Bengaluru,35.53,82.96,5.3,26.2,26.76,15.84,1.09,8.07,32.75,0.33,1.89,103.0
Bengaluru,52.39,111.14,4.66,25.96,26.24,15.42,1.06,10.99,34.35,0.34,1.56,101.0
Bengaluru,24.22,41.6,2.61,10.48,11.63,9.42,0.61,6.21,36.3,0.28,2.29,67.0
Bengaluru,45.3,106.63,5.64,30.49,30.83,13.5,0.95,7.2,38.36,0.33,3.37,105.0
Bengaluru,43.83,92.77,7.34,35.14,37.61,13.82,1.11,6.93,41.55,0.34,1.47,96.0
Bengaluru,30.66,74.45,6.88,30.15,32.31,12.86,1.16,7.47,34.73,0.45,4.91,86.0
Bengaluru,29.27,75.0,7.82,32.2,33.89,12.05,1.0,6.81,32.0,0.51,4.12,82.0
Bengaluru,33.79,80.75,9.12,34.38,35.34,12.29,0.96,7.34,32.47,0.43,1.64,79.0
Bengaluru,35.27,84.84,4.24,24.1,23.37,13.05,0.81,6.12,39.98,0.45,1.6,94.0
Bengaluru,52.07,105.15,5.09,31.67,30.74,14.51,1.03,10.3,43.71,0.61,2.24,102.0
Bengaluru,46.36,102.88,5.39,37.62,35.68,14.39,1.05,8.97,47.97,0.65,4.32,111.0
Bengaluru,43.42,107.2,17.25,47.61,53.47,14.17,1.19,9.86,37.97,0.81,2.12,112.0
Bengaluru,46.45,100.44,8.04,38.65,38.26,13.87,0.99,11.45,50.62,0.63,1.8,115.0
Bengaluru,52.63,98.54,6.61,33.37,34.73,17.5,1.17,13.04,47.28,0.43,1.34,102.0
Bengaluru,45.49,92.25,12.1,41.23,46.01,17.79,1.24,9.36,42.71,0.39,1.47,98.0
Bengaluru,44.48,93.93,9.21,45.71,48.99,16.11,1.1,8.32,36.55,0.44,1.37,97.0
Bengaluru,49.51,103.19,5.71,31.27,32.33,14.44,1.06,8.53,41.16,0.27,2.81,96.0
Bengaluru,19.42,31.92,2.57,10.76,11.72,9.03,0.55,6.75,32.7,0.16,2.23,53.0
Bengaluru,17.04,48.52,3.12,13.02,13.46,7.96,0.78,6.2,31.78,0.22,2.26,65.0
Bengaluru,19.95,50.26,2.71,10.17,11.49,8.33,0.68,6.79,34.71,0.19,2.56,71.0
Bengaluru,38.955929047639835,97.78508238623962,21.42510553044524,44.6396832360635,51.0265138692633,16.027280389661414,0.9875422294381744,5.911332343089421,51.71088673190127,1.7380869805605843,5.747056547748974,101.75422294381744
Bengaluru,43.21953439412106,99.8088194751069,5.321315707857926,31.09197655368616,25.251066394722702,16.146767795440383,0.8,5.491754277143902,66.55677377923892,1.047726043791229,3.7617813137368663,123.0
Bengaluru,53.74984445857139,153.1739236632257,8.844130182742632,42.43865378159316,26.969813103409045,39.81776890394617,0.9268683833173684,4.819895436659712,42.6155561272365,1.3360266622677988,0.7423160364681337,123.0
Bengaluru,20.767241658096868,51.08587326689083,11.426198858207,25.91239906388219,29.683779582301945,15.481715542013264,0.892413886032289,3.7568958547578326,16.832062692820493,0.6068972022260232,2.1589639374510865,62.51722279354219
Bengaluru,25.002919341749003,80.82570057469339,5.695953011790365,27.32082679324188,0.0,24.917859035371094,0.5400273502926143,4.840635341193577,21.02278259028593,1.192245438677456,1.1520427750438018,55.25575034815671
Bengaluru,33.26186411781727,99.28465402200509,7.223583220368017,39.373846655786814,0.0,32.22310150956849,0.4137297405964476,6.91923628885787,15.636226604327405,2.553421145139598,2.766137789213201,73.02789904187819
Bengaluru,35.36839761145662,86.0112237939507,4.682647379326625,22.332647379326623,23.874012291254115,13.318781771693594,1.0539242810814635,5.811772843244391,49.5252919758311,0.4000880101726525,1.333169874718247,82.48547077899855
Bengaluru,38.75780113524394,79.02170227746159,21.647133127347992,46.09107478994666,38.0007924420174,23.70551361443548,2.0760372153173012,5.577767080961917,11.398083483173195,1.43,1.4247346792117528,98.65954450768224
Bengaluru,25.140671711560778,36.34266011059586,3.1573790371498003,18.099864177546703,11.090626118834606,17.506455971349162,1.1008650609760542,4.097714653998886,92.427591243644,1.9114009500835316,3.20566180515871,62.08521710150357
Bengaluru,44.72443915875312,81.74655167283963,7.289953032010486,28.83471706610968,27.608496421103123,13.401816149268951,1.0475648624738911,7.7706721087336685,45.42352605758488,0.7722288081070569,26.49985294354446,95.34198166318548
Bengaluru,56.14212731295394,150.98176318604183,30.18278165531804,43.98404243765131,61.38398630378565,14.353752222199304,0.9381889115632226,6.5327296371877415,22.781208764202972,1.6415208729847672,4.173830249394751,114.31759070306478
Bengaluru,14.358535053966955,27.693703555242134,9.47238704237703,19.616239030787103,22.69264493010238,12.913066420861863,0.6784743745021667,4.132356702644636,14.255392783774106,0.699199262585591,2.168368185438788,53.30815907280606
Bengaluru,36.72764138285789,86.17190234983181,4.454222056266654,23.527188849547866,22.610908800620333,13.734579179808655,0.8006859975536238,5.835922925385524,40.70183518959416,0.4639710036695644,1.572057992660871,93.5342998776812
Bengaluru,23.873363173064256,60.072030521726994,6.163503561802018,20.81604476893507,22.407700920694698,15.325798567808247,0.8481566632566863,5.115580879774934,31.717096642796804,0.6218433367433137,1.3422136334116055,82.73733469732548
Bengaluru,17.5,30.48,3.95,13.25,14.83,7.42,0.54,6.66,15.4,0.27,0.65,43.0
Bengaluru,14.47,24.26,4.61,12.69,15.0,6.82,0.56,6.45,16.08,0.18,0.86,63.0
Bengaluru,28.68,29.27,3.62,12.12,12.94,6.8,0.56,6.33,16.99,0.17,1.17,65.0
